;Eau;ENG;PROT;GLUC;LIPI;SUC;FIBR
AilFrais;64.3;131;5.81;21.2;0.34;1.43;4.7
ArtichautCuit;85.8;33.2;2.53;0.99;0.28;0.99;8.3
Asperge;93;19.8;2.53;0.81;0.32;0.81;1.8
Aubergine;89.7;32.7;1.23;4.17;0.28;3.41;4.3
Avocat;75.7;155;1.61;3.67;13.8;1;4
BetteraveRouge;87.1;47.2;1.84;8.56;0.18;7.96;2
Blettes;95.3;20.6;0.7;0.46;0.2;0.46;2.5
Brocolis;92.5;22.8;2.1;1.1;0.78;1.1;1.5
CarotteCrue;89.6;36.4;0.77;6.45;0.26;5.42;2.7
CeleriBrancheCru;94.2;21.9;0.66;3.6;0.19;1.27;1.6
CeleriRaveCru;88.6;32.4;1.5;4.3;0.2;3.6;3.7
ChampignonParis;93.9;21.1;2.62;1.33;0.36;1.06;1
ChouBlanc;92;29;1.3;4.8;0.2;3.2;2
ChouFleurCuit;93.7;20.9;1.6;1.6;0.46;1.59;2
ChouRouge;90;33;1.6;5;0.2;3.3;2
Concombre;96;13.6;0.64;2.04;0.11;1.34;0.6
CourgetteCuite;93.8;15.5;0.93;1.4;0.36;1.39;1.5
EndiveCrue;95.5;20.08;1.1;3.15;0.2;2.2;1
EpinardCuit;92.8;29.1;3.2;0.5;0.14;0.47;2.7
FenouilCru;92;19.9;1.14;2.3;0.2;2.21;2.23
FevesCuites;77.6;78.6;6.01;10.4;0.45;1.82;4.5
HaricotsVerts;89.3;30.1;2;3;0.17;1;4
Laitue;96;14.6;1.3;1.37;0.2;0.6;0.5
Lentilles;70;112;8.1;16.6;0.6;1.2;4
Mâche;93;19.2;2.3;0.6;0.4;0.5;2
Maïs;75;100;3.4;16.4;1.5;4.8;4
NavetCru;91.6;26.8;0.82;4.7;0.1;3.8;1.9
OignonCuit;90.4;30;1.3;6.2;0.2;4;1.4
PanaisCru;77.5;58.3;1.54;12.1;0.4;3.7;2.13
PatatesDouces;78;62.8;1.69;12.2;0.15;6.11;2.9
PetitsPoisCuits;82.9;61.4;5.8;4.7;0.87;1.8;5.8
PoireauCuit;92;24.6;1.1;3;0.2;2.11;3.2
PoivronRougeCuit;90.9;39.9;1.21;7;0.3;6;2.2
PoivronVertCuit;92;17.4;0.93;2.36;0.2;2.36;1.2
PommesDeTerre;78.3;80.5;1.8;16.7;0.34;0.86;1.8
Potiron;92;25.9;0.81;4.5;0.07;3.1;2
Radis;95.9;11.4;0.76;1.24;0.1;1.24;1.1
Riz;67;135;2.5;28.7;0.9;0.1;1
Rutabagas;88.8;38;1.29;8.74;0.22;6.02;1.8
Salsifis;87;46;2.7;7.5;0.1;2.9;2
Soja(pousses);91.7;30.5;2.57;3.4;0.5;3.4;1.7
TomateCrue;94.1;18.4;0.86;2.26;0.26;2.25;1.2
Topinambour;80;81.9;1.8;16;0.7;9.6;3
